번호,구분,국가구분,국가,주소(URL),영문기관명,등록아이디,내용,파일경로,이미지이름,등록일자,수정일자,등록아이피,수정아이피,사용여부,삭제여부,국문기관명
5,1,1,한국,http://www.moe.go.kr/,Ministry of Education,REN_HOME,교육부,5,sitelogo_04.gif,2017-11-07,,13,,Y,Y,교육부
8,1,1,대한민국,http://www.greengrowth.go.kr/,GreenGrowthKorea,REN_HOME,"녹색성장위원회(綠色成長委員會, Presidential Committee on Green Growth)는 정부의 녹색성장 정책을 심의하고 조율하기 위해 설립된 대한민국 국무총리 소속의 위원회이다. 2009년 2월 16일, 정식 출범하였다. 비전은 “2020년까지 세계 7대, 2050년까지 세계 5대 녹색강국 진입”이다.",8,녹색성장위원회.png,2017-12-01,2017-12-01,107,107,Y,N,녹색성장위원회
9,2,1,대한민국,https://www.kimm.re.kr/,KIMM,REN_HOME,"1976년 상공부 산하의 한국기계금속시험연구소로 설립된 과학기술정보통신부 산하의 연구기관이다. 1976년 이후 한국정밀기기센터, 해사기술연구소, 항공우주연구소를 발족하여 1992년 3월 16일에 한국기계연구원으로 개칭하고 기술개발 연구를 더 강화하였다. 또한 2007년에는 부설 재료연구소, 2010년에는 대구융합기술연구센터, 2013년에는 부산레이저기술지원센터를 설립하여 연구소를 계속 확장하고 있다. 연구원에서는 나노연구, 자기부상열차, 플랜트 기술 등의 기계기술 분야에 중점적으로 연구를 진행하여 국가 기계기술 발전에 기여하고 있다.",9,한국기계연구원.png,2017-12-01,2017-12-01,107,107,Y,N,한국기계연구원
10,1,1,대한민국,http://www.moe.go.kr,Ministry of Education,REN_HOME,"인적자원 개발정책과 학교교육, 평생교육 및 학술에 관한 사무를 관장하는 중앙행정기관주요 업무는 교육에 관한 중장기 발전계획의 수립, 초·중등학교 교육제도 및 입학제도의 개선, 고등교육 기본정책의 수립 및 시행, 공교육 정상화 정책의 수립 및 시행, 지방교육자치제도 기본정책의 수립 및 제도 개선, 인재개발 정책의 기획 및 총괄 등을 비롯한 학교교육과 평생교육, 인적자원 개발정책 및 학술에 관한 사무를 관장하는 것이다.",10,교육부.png,2017-12-01,2017-12-02,107,107,Y,N,교육부
11,2,1,대한민국,http://www.kigam.re.kr/,KIGAM,REN_HOME,한국지질자원연구원은 국가 전략자원과 에너지를 확보하고 국토를 보전하기 위해 설립된 정부 출연 연구기관이다.,11,한국지질자원연구원.png,2017-12-01,2017-12-01,107,107,Y,N,한국지질자원연구원
12,1,1,대한민국,http://www.mafra.go.kr,MAFRA,REN_HOME,"농산·축산, 식량·농지·수리(水利), 식품산업 진흥, 농촌개발 및 농산물 유통 등에 관한 사무를 관장하는 대한민국의 중앙행정기관. 1948년 농림부로 출범하여 1973년 농수산부, 1986년 농림수산부, 1996년 농림부, 2008년 농림수산식품부를 거쳐 2013년 3월 농림축산식품부로 개편되었다.",12,농림축산식품부.png,2017-12-01,2017-12-01,107,107,Y,N,농림축산식품부
15,2,1,대한민국,http://www.stepi.re.kr/,STEPI,REN_HOME,과학기술 활동 및 과학기술과 관련된 경제·사회의 다양한 문제를 연구 분석해 과학기술 발전을 도모하는 국책 연구기관,15,과학기술정책연구원.png,2017-12-01,2017-12-01,107,107,Y,N,과학기술정책연구원
16,2,1,대한민국,http://www.keei.re.kr,KEEI,REN_HOME,"1970년대 세계적인 석유위기를 겪으면서 에너지에 대한 중요성이 부각되었고, 1980년대에 들어서 특히 국민경제에서 차지하는 에너지의 비중이 크게 늘어남에 따라 이 분야의 효과적인 정책연구에 대한 필요성이 제기되어 1986년 9월에 설립되었다. 이와 같은 설립취지에 따라서 에너지의 개발·생산·수급 및 효율적 이용 등 에너지자원 부문의 정책문제를 연구, 분석하고 있다.",16,에너지경제연구원.png,2017-12-01,,107,,Y,N,에너지경제연구원
17,2,1,대한민국,http://www.kei.re.kr,KEI,REN_HOME, 환경정책을 연구하고 환경영향평가 검토 업무를 수행하는 환경 분야 국책연구기관,17,한국환경정책평가연구원.png,2017-12-01,,107,,Y,N,한국환경정책·평가연구원
18,2,1,대한민국,http://www.kier.re.kr/,KIER,REN_HOME,에너지의 이용을 연구하고 기술을 개발하여 그 성과를 보급하기 위해 설립된 미래창조과학부 국가과학기술연구회 소관의 정부출연 연구기관이다.,18,한국에너지기술연구원(KIER).png,2017-12-01,,107,,Y,N,한국에너지기술연구원
19,2,1,대한민국,https://www.kist.re.kr,KIST,REN_HOME,국가 미래 과학기술을 선도하는 창조적 원천기술의 연구개발과 기초·응용과학의 연구를 추진하고 있는 교육과학기술부 기초기술연구회 소관의 정부출연 연구기관이다.,19,한국과학기술연구원(kist).png,2017-12-01,,107,,Y,N,한국과학기술연구원
